COMP465,COMP,465,Design and Analysis of Algorithms
COMP472,COMP,472,Artificial Intelligence
COMP473,COMP,473,Pattern Recognition
COMP474,COMP,474,Intelligent Systems
COMP476,COMP,476,Advanced Game Development
COMP477,COMP,477,Animation for Computer Games
COMP478,COMP,478,Image Processing
COMP479,COMP,479,Information Retrieval and Web Search
COMP490,COMP,490,Computer Science Project I
COMP492,COMP,492,Computer Science Project II
COMP495,COMP,495,Honours Seminar
COMP498,COMP,498,TOPICS IN COMPUTER SCIENCE
ELEC242,ELEC,242,Continuous-Time Signals and Systems
ELEC251,ELEC,251,Fundamentals of Applied Electromagnetics
ELEC273,ELEC,273,Basic Circuit Analysis
ELEC275,ELEC,275,Principles of Electrical Engineering
ELEC311,ELEC,311,Electronics I
ELEC312,ELEC,312,Electronics II
ELEC321,ELEC,321,Introduction to Semiconductor Materials and Devices
ELEC331,ELEC,331,Fundamentals of Electrical Power Engineering
ELEC342,ELEC,342,Discrete-Time Signals and Systems
ELEC351,ELEC,351,Electromagnetic Waves and Guiding Structures
ELEC353,ELEC,353,Transmission Lines, Waves and Signal Integrity
ELEC365,ELEC,365,Complex Variables and Partial Differential Equations
ELEC367,ELEC,367,Introduction to Digital Communications
ELEC372,ELEC,372,Fundamentals of Control Systems
ELEC390,ELEC,390,ELEC. ENG. PROD DESIGN PROJ.
ELEC421,ELEC,421,Solid State Devices
ELEC424,ELEC,424,VLSI PROCESS TECHNOLOGY
ELEC425,ELEC,425,Optical Devices for High?Speed Communications
ELEC430,ELEC,430,Electrical Power Equipment
ELEC431,ELEC,431,Electrical Power Systems
ELEC432,ELEC,432,Control of Electrical Power Conversion Systems
ELEC433,ELEC,433,Power Electronics
ELEC434,ELEC,434,Behaviour of Power Systems
ELEC435,ELEC,435,Electromechanical Energy Conversion Systems
ELEC436,ELEC,436,Protection of Power Systems
ELEC437,ELEC,437,Renewable Energy Systems
ELEC438,ELEC,438,Industrial Electrical Systems
ELEC440,ELEC,440,Controlled Electric Drives
ELEC441,ELEC,441,Modern Analog Filter Design
ELEC442,ELEC,442,Digital Signal Processing
ELEC453,ELEC,453,Microwave Engineering
ELEC456,ELEC,456,Antennas
ELEC457,ELEC,457,Design of Wireless RF Systems
ELEC458,ELEC,458,Techniques in Electromagnetic Compatibility
ELEC463,ELEC,463,Telecommunication Networks
ELEC464,ELEC,464,Wireless Communications
ELEC466,ELEC,466,Introduction to Optical Communication Systems
ELEC472,ELEC,472,Advanced Telecommunication Networks
ELEC481,ELEC,481,Linear Systems
ELEC482,ELEC,482,System Optimization
ELEC483,ELEC,483,REAL-TIME COMPUTER CONTROL SYSTEM
ELEC490,ELEC,490,Capstone Electrical Engineering Design Project
ELEC498,ELEC,498,TOPICS IN ELECTR. ENG.
ENCS272,ENCS,272,Composition and Argumentation for Engineers
ENCS282,ENCS,282,Technical Writing and Communication
ENCS393,ENCS,393,Social and Ethical Dimensions of Information and Communication Technologies
ENCS483,ENCS,483,INN.&CRITICL THKNG SCI&TECH
ENCS484,ENCS,484,DEVELOPMENT & GLOBAL ENGR
ENCS498,ENCS,498,TOPICS IN ENGINEERING AND COMPUTER SCIENCE
ENGR201,ENGR,201,Professional Practice and Responsibility
ENGR202,ENGR,202,Sustainable Development and Environmental Stewardship
ENGR207,ENGR,207,ENGR INDUS EXPERIENCE II
ENGR208,ENGR,208,Engineering Industrial Experience Reflective Learning II
ENGR213,ENGR,213,Applied Ordinary Differential Equations
ENGR233,ENGR,233,Applied Advanced Calculus
ENGR242,ENGR,242,Statics
ENGR243,ENGR,243,Dynamics
ENGR244,ENGR,244,Mechanics of Materials
ENGR245,ENGR,245,Mechanical Analysis
ENGR251,ENGR,251,Thermodynamics I
ENGR290,ENGR,290,INTRO. ENGR TEAM DESIGN PROJ
ENGR301,ENGR,301,Engineering Management Principles and Economics
ENGR307,ENGR,307,ENGR INDUS EXPERIENCE III
ENGR308,ENGR,308,Engineering Industrial Experience Reflective Learning III
ENGR311,ENGR,311,Transform Calculus and Partial Differential Equations
ENGR361,ENGR,361,Fluid Mechanics I
ENGR371,ENGR,371,Probability and Statistics in Engineering
ENGR391,ENGR,391,Numerical Methods in Engineering
ENGR392,ENGR,392,Impact of Technology on Society
ENGR411,ENGR,411,Special Technical Report
ENGR412,ENGR,412,HONOURS RESEARCH PROJECT
IADI301,IADI,301,Undergraduate Aerospace Industry Project I
IADI401,IADI,401,Undergraduate Aerospace Industry Project II
INDU211,INDU,211,Introduction to Production and Manufacturing Systems
INDU311,INDU,311,Simulation of Industrial Systems
INDU320,INDU,320,Production Engineering
INDU321,INDU,321,Lean Manufacturing
INDU323,INDU,323,Operations Research I
INDU324,INDU,324,Operations Research II
INDU330,INDU,330,Engineering Management
INDU342,INDU,342,Logistics Network Models
INDU371,INDU,371,Stochastic Models in Industrial Engineering
INDU372,INDU,372,Quality Control and Reliability
INDU410,INDU,410,Safety Engineering
INDU411,INDU,411,Computer Integrated Manufacturing
INDU412,INDU,412,Human Factors Engineering
INDU421,INDU,421,Facilities Design and Material Handling Systems
INDU423,INDU,423,Inventory Control
INDU440,INDU,440,Product Design and Development
INDU441,INDU,441,Introduction to Six Sigma
INDU466,INDU,466,Decision Models in Service Sector
INDU475,INDU,475,Advanced Concepts in Quality Improvement
INDU480,INDU,480,Cases in Industrial Engineering
INDU490,INDU,490,Capstone Industrial Engineering Design Project
MECH211,MECH,211,Mechanical Engineering Drawing
MECH215,MECH,215,Programming for Mechanical and Industrial Engineers
MECH221,MECH,221,Materials Science
MECH311,MECH,311,Manufacturing Processes
MECH313,MECH,313,Machine Drawing and Design
MECH321,MECH,321,Properties and Failure of Materials
MECH343,MECH,343,Theory of Machines
MECH344,MECH,344,Machine Element Design
MECH351,MECH,351,Thermodynamics II
MECH352,MECH,352,Heat Transfer I
MECH361,MECH,361,Fluid Mechanics II
MECH368,MECH,368,Electronics for Mechanical Engineers
MECH370,MECH,370,Modelling, Simulation and Control Systems
MECH375,MECH,375,Mechanical Vibrations
MECH390,MECH,390,Mechanical Engineering Design Project
MECH411,MECH,411,Instrumentation and Measurements
MECH412,MECH,412,Computer?Aided Mechanical Design
MECH414,MECH,414,Computer Numerically Controlled Machining
MECH415,MECH,415,Advanced Programming for Mechanical and Industrial Engineers
MECH421,MECH,421,Mechanical Shaping of Metals and Plastics
MECH422,MECH,422,Mechanical Behaviour of Polymer Composite Materials
MECH423,MECH,423,CAST/WELD/HEAT TREATING
MECH424,MECH,424,MEMS � Design and Fabrication
MECH425,MECH,425,Manufacturing of Composites
MECH426,MECH,426,Stress and Failure Analysis of Machinery
MECH447,MECH,447,Fundamentals of Vehicle System Design
MECH448,MECH,448,Vehicle Dynamics
MECH452,MECH,452,Heat Transfer II
MECH453,MECH,453,Heating, Ventilation and Air Conditioning Systems
MECH454,MECH,454,Vehicular Internal Combustion Engines
MECH460,MECH,460,Finite Element Analysis
MECH461,MECH,461,Gas Dynamics
MECH471,MECH,471,Microcontrollers for Mechatronics
MECH472,MECH,472,Mechatronics and Automation
